ID,adj.P.Val,P.Value,logFC,GB_ACC
Cit.4516.1.S1_s_at,0.0001483,1.52e-06,1.682219,CV886618
Cit.19746.1.S1_s_at,0.0001501,1.54e-06,-1.5371122,CK937734
Cit.15396.1.S1_s_at,0.0001501,1.55e-06,2.5191587,CX665784
Cit.21182.1.S1_s_at,0.0001501,1.55e-06,-6.5901174,DN799479
Cit.30646.1.S1_s_at,0.0001509,1.57e-06,-1.8600581,CB292174
Cit.24213.1.S1_s_at,0.0001509,1.57e-06,-1.58424,CD575460
Cit.28117.1.S1_s_at,0.0001517,1.59e-06,-1.4932189,CX674093
Cit.22158.1.S1_x_at,0.0001517,1.59e-06,-2.8461889,CX664438
Cit.12816.1.S1_s_at,0.0001518,1.59e-06,-1.7185833,CV885989
Cit.31195.1.S1_at,0.000152,1.61e-06,2.4552002,CF508960
Cit.30526.1.S1_at,0.000152,1.61e-06,-2.6640248,DN797365
Cit.12739.1.S1_at,0.000152,1.61e-06,-2.5456907,CK938657
Cit.6247.1.S1_s_at,0.000152,1.62e-06,-1.7598455,DN623815
Cit.8902.1.S1_s_at,0.0001526,1.63e-06,1.8325109,CF509114
Cit.29751.1.S1_at,0.0001542,1.65e-06,-2.2724444,CX298333
Cit.9504.1.S1_s_at,0.0001554,1.67e-06,-2.0915884,CB292132
Cit.14342.1.S1_at,0.0001554,1.67e-06,-1.7799535,CX668058
Cit.16265.1.S1_at,0.0001554,1.68e-06,2.0228214,CV887060
Cit.25298.1.S1_s_at,0.0001558,1.69e-06,-2.6260145,DN624472
Cit.15258.1.S1_at,0.0001558,1.69e-06,-1.6632816,CX638209
Cit.17489.1.S1_at,0.0001562,1.7e-06,2.0865532,CX294199
Cit.51.1.S1_x_at,0.0001567,1.71e-06,-1.858088,CX303431
Cit.8700.1.S1_at,0.000157,1.73e-06,-2.4933792,CF837968
Cit.35279.1.S1_s_at,0.000157,1.73e-06,1.3234438,CK935823
Cit.16071.1.S1_at,0.0001572,1.73e-06,2.2971305,CF837351
Cit.5281.1.S1_at,0.0001572,1.74e-06,2.1209904,CX674852
Cit.38765.1.S1_at,0.0001579,1.75e-06,2.5902963,CK701935
Cit.18677.1.S1_s_at,0.0001603,1.78e-06,-3.3274992,CX299099
Cit.18669.1.S1_at,0.0001606,1.79e-06,1.9845633,CX298848
Cit.35230.1.S1_at,0.0001606,1.8e-06,2.5909714,CK936318
Cit.3798.1.S1_at,0.0001606,1.81e-06,1.9485729,CX044256
Cit.18120.1.S1_at,0.0001606,1.81e-06,1.5322018,CB611046
Cit.12214.1.S1_s_at,0.0001606,1.81e-06,-3.0687443,CX303148
Cit.18057.1.S1_s_at,0.0001611,1.83e-06,2.0886685,CK935959
Cit.23137.1.S1_s_at,0.0001611,1.83e-06,1.3806146,CX071878
Cit.10546.1.S1_s_at,0.0001611,1.84e-06,1.9317077,CF836363
Cit.16598.1.S1_at,0.0001619,1.85e-06,1.9244397,CX637428
Cit.18482.1.S1_x_at,0.0001635,1.87e-06,2.0272524,CX292437
Cit.3036.1.S1_s_at,0.0001666,1.91e-06,-2.1268644,CB292401
Cit.30875.1.S1_at,0.0001666,1.92e-06,1.9896038,CK739657
Cit.13687.1.S1_at,0.0001673,1.94e-06,-1.3677075,CX635495
